"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Guntur","2019-04-29","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2019-04-30","2019","04","0.458228618","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-02","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-04","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-05","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-06","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-07","2019","04","1.734132663","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-08","2019","04","0.210497774","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-09","2019","04","0.081004774","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-10","2019","04","0.424427926","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-11","2019","04","0.844904235","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-13","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-15","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-17","2019","04","0.120386075","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-18","2019","04","1.037161184","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-19","2019","04","2.429455387","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-20","2019","04","0.233351067","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-21","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-22","2019","04","0.01851056","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-23","2019","04","6.886127307","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-25","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-26","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-27","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-28","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-29","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2019-04-30","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-02","2019","04","0.001433668","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-04","2019","04","0.193137208","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-05","2019","04","0.231824045","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-06","2019","04","0.646997104","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-07","2019","04","0.377795297","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-08","2019","04","1.351098552","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-09","2019","04","1.872822126","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-10","2019","04","8.495227868","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-11","2019","04","4.288826756","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-12","2019","04","0.072393385","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-13","2019","04","0.485011443","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-14","2019","04","0.048896598","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-15","2019","04","0.004567255","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-17","2019","04","0.760427516","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-18","2019","04","1.448700592","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-19","2019","04","1.190529492","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-20","2019","04","0.006343979","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-21","2019","04","0.30025095","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-22","2019","04","0.361311534","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-23","2019","04","0.232528932","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-24","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-25","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-26","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-27","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-28","2019","04","0.410539241","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-29","2019","04","1.606354528","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2019-04-30","2019","04","9.083733042","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-01","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-02","2019","04","0.007966204","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-03","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-04","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-05","2019","04","0.467237869","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-06","2019","04","0.196439111","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-07","2019","04","0.34661568","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-08","2019","04","0.931699179","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-09","2019","04","3.596310164","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-10","2019","04","2.432016013","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-11","2019","04","3.974008174","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-12","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-13","2019","04","0.747266587","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-14","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-15","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-16","2019","04","NA","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-17","2019","04","0.14145817","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-18","2019","04","3.041711614","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-19","2019","04","5.707498852","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-20","2019","04","0.947229406","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-21","2019","04","1.767341154","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-22","2019","04","4.49338143","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2019-04-23","2019","04","0.003897281","NRSC VIC MODEL"
